,LBC Inventory List（04/09/2026）,,,,,,,
,10020106782,XP12-210FR(T6),Dallas,148.00,,,,
,10020106783,XP12-400FR(T8),Califonia,58.00,,,,
,10020106783,XP12-400FR(T8),TX AGED,1.00,,,,
,10020107533,LPL12-100(T11),CA AGED,28.00,,,,
,10020107533,LPL12-100(T11),TX AGED,2.00,,,,
,10020109210,XP12-400T8FR,CA AGED,81.00,,,,
,10020109222,XP12-350T6FR,CA AGED,72.00,,,,
,10020109222,XP12-350FR T6,CA AGED,36.00,,,,
,10020111333,LP12-110T11,CA AGED,108.00,,,,
,10020200024,LPF12-100AFR(T13),Califonia,6.00,,,,
,10020200024,LPF12-100AFR(T13),Dallas,195.00,,,,
,10020200311,LPF12-150BFR(T13),Califonia,97.00,,,,
,10020200430,LPF12-55FR(T6),Califonia,104.00,,,,
,10020200430,LPF12-55FR(T6),CA AGED,16.00,,,,
,10020200430,LPF12-55FR(T6),Dallas,53.00,,,,
,10020201095,LPF12-100A(T13),Califonia,129.00,,,,
,10020201095,LPF12-100A(T13),Dallas,158.00,,,,
,10020400436,HXP12-540FR(T8),CA AGED,9.00,,,,
,10020400436,HXP12-540FR(T8),TX AGED,13.00,,,,
,10020400595,HXP12-540FR,CA AGED,342.00,,,,
,10020400595,HXP12-540FR,TX AGED,11.00,,,,
,10040100233,PLH210FT(A)(T8),Califonia,280.00,,,,
,10040100233,PLH210FT(A)(T8),Dallas,222.00,,,,
,10040100234,PLH190FT(A)(T8),Califonia,105.00,,,,
,10040100234,PLH190FT(A)(T8),Dallas,166.00,,,,
,10040100236,PLH150FT(A)(T8),Califonia,161.00,,,,
,10040100236,PLH150FT(A)(T8),TX AGED,1.00,,,,
,10040100236,PLH150FT(A)(T8),Dallas,260.00,,,,
,10040100237,PLH170FT(A)(T8),TX AGED,28.00,,,,
,10040100237,PLH170FT(A)(T8),Dallas,64.00,,,,
,10040100239,PLH100FT(A)(T8),Califonia,85.00,,,,
,10040100239,PLH100FT(A)(T8),Dallas,22.00,,,,
,10040100255,PLH40FT,CA AGED,65.00,,,,
,10040100255,PLH40FT,TX AGED,5.00,,,,
,10040100330,BRACKET-12LFT195-2FR,Califonia,144.00,,,,
,10040100330,BRACKET-12LFT195-2FR,Dallas,300.00,,,,
,10040100453,BRACKET - 12LFT150-3 - FRONT,Califonia,700.00,,,,
,10040200173,PLF12-186FT,CA AGED,54.00,,,,
,10040500019,PLC+C180FT(T8),Dallas,50.00,,,,
,10040500019,PLC+C 180FT(T8),Califonia,64.00,,,,
,10040500019,PLC+C 180FT(T8),Dallas,16.00,,,,
,10110100035,LDC12-140(T11),Dallas,117.00,,,,
,10110101641,LDC6-265-GC2 T11(M8),Dallas,792.00,,,,
,10120100010,LDC12-150-GC12(T11),Dallas,58.00,,,,
,10120100011,LDC6-224-GC2(T11),Califonia,7.00,,,,
,10120100011,LDC6-224-GC2(T11),Dallas,29.00,,,,
,10120100012,LDC12-90-G24-DT,TX AGED,50.00,,,,
,10120100016,LDC12-105-G27-DT,Califonia,3.00,,,,
,10120100016,LDC12-105-G27-DT,TX AGED,1.00,,,,
,10120100017,LDC12-115-G31-DT,Dallas,4.00,,,,
,10120100019,LDC8-180-GC8,Dallas,118.00,,,,
,10120100022,LDC6-210-GC2,CA AGED,6.00,,,,
,10120100041,LDC8-210-GC8H(T11),TX AGED,7.00,,,,
,10120100047,LDC12-115-G31-T,CA AGED,1.00,,,,
,10120100047,LDC12-115-G31-T(T11),Califonia,195.00,,,,
,10120100047,LDC12-115-G31-T(T11),Dallas,43.00,,,,
,10120100812,LDC6-400-L16,Califonia,1.00,,,,
,10120100812,LDC6-400-L16,Dallas,84.00,,,,
,10130500512,DT-L16,Califonia,50.00,,,,
,10130500512,DT-L16,Dallas,20.00,,,,
,10170100018,LDC12-330-8D,Califonia,96.00,,,,
,10170100018,LDC12-330-8D,Dallas,12.00,,,,
,10180108945,35-550,Dallas,120.00,,,,
,10180108946,26R-575,Dallas,123.00,,,,
,10190101305,AGM-94R-800(H7/L4),Dallas,36.00,,,,
,10190101305,AGM-94R-800 (H7/L4),Califonia,144.00,,,,
,10200300536,MX20-3,Califonia,398.00,,,,
,10200300536,MX20-3,Dallas,220.00,,,,
,10200300539,MX16-4-3,TX AGED,64.00,,,,
,10200300540,MX18-3-3,TX AGED,64.00,,,,
,10200300610,MX30-3,Califonia,136.00,,,,
,10200300612,MX12-4-3,TX AGED,44.00,,,,
,10200300616,MX14-3,CA AGED,40.00,,,,
,10200300617,MX14-4,TX AGED,49.00,,,,
,10200401727,EB16B-3-1-PW,TX AGED,60.00,,,,
,10200600766,EBZ10-BS,TX AGED,37.00,,,,
,10200600913,LBX4L-BS,Dallas,126.00,,,,
,10200600915,LBX7A-BS,Dallas,100.00,,,,
,10200600918,LBX14-BS,Dallas,564.00,,,,
,10210200205,LB14A-A2,TX AGED,67.00,,,,
,10990901990,MKS-GP51105A,LEC-Dallas,83.00,,,,
,11050100077,LFELI-48100B,Dallas,2.00,,,,
,11050100572,LFELI-48100E,Dallas,1.00,,,,
,11050100893,LFELI-48100T-BK,Dallas,54.00,,,,
,11050100893,LFELI-48100T-DF,Dallas,18.00,,,,
,11050100958,LFELI-48200T-SNMP,Dallas,50.00,,,,
,11050100959,LFELI-48100T-SNMP,Dallas,43.00,,,,
,11050101030,LFELI-48100T-DF,Dallas,8.00,,,,
